"scientific_name","weight_z","beak_len_culmen_z","beak_len_nares_z","beak_width_z","beak_depth_z","tarsus_len_z","wing_len_z","hand_wing_index_z","tail_len_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"Accipiter virgatus",0.57208288887303,-0.17279718415393,-0.233278598138134,0.152440340605719,0.364896298696128,1.22319658412248,0.28595988748603,0.0732446125931684,0.333006985702334,0.881726627223525,0.789506839773241,0.692790176303514,0.230004511115867,0.324703973958769,-0.236432230310399,0.419963748263044,-0.0387014706104679,-0.0364848953961668
"Acridotheres fuscus",0.332194126315035,0.0416240523057197,-0.0286825972532409,-0.0398814702514299,-0.0686983974038646,0.50267962186665,-0.135295390779314,-0.145338786245083,-0.379164249197335,0.034488856244975,0.0773712470550023,0.332466516986534,0.567465524451803,0.210135560292355,0.087018031018545,0.241674309343674,0.0704946064229475,-0.0566021901516333
"Acridotheres tristis",0.568515633096931,0.0273293032084097,-0.0333325063642613,-0.0783458324228597,0.0359623913099268,0.616445458012307,0.0194514461344865,-0.234391282068074,-0.235276591533933,0.266691186777465,0.211532945957528,0.526931958504778,0.548467301716442,0.219169183953114,0.211742624743046,0.196232920007503,-0.0113518571483302,-0.0410138750538416
"Acrocephalus dumetorum",-1.05582213869995,-0.344334173321649,-0.349526325913642,-0.616846902822878,-0.696663129686613,-0.266594127308745,-0.722760234618739,-0.493453088098595,-0.696007778193515,-1.7599108741672,-0.422577651345324,0.19490263760244,0.161329480920582,-0.11149157059456,-0.451911395297869,0.0520481731571933,0.0279189252792296,-0.0379684041540918
"Aegithina tiphia",-1.00795283398994,-0.322892049675684,-0.275127780137317,-0.482221635222873,-0.48734155225903,-0.407447067298606,-0.727536371560523,-1.33540395769779,-0.773038544417357,-1.77405905383903,-0.970340528769348,0.748493615756269,0.0193800060981518,0.163369902585227,-0.234487766973787,-0.188278115317726,0.0258568251044486,0.00353066967605951
"Alauda gulgula",-0.463530817395884,-0.401513169710889,-0.32627678035854,-0.482221635222873,-0.472390011014203,-0.212419919620337,-0.490639979248039,0.0813402940316223,-0.709088474344733,-1.25030841085353,0.0659636156239897,-0.190307295540668,0.313557220322821,0.0865596464456019,-0.140578079761228,0.112422543097049,-0.0214000542752994,0.0124808120691548
"Alcippe poioicephala",-0.62965810218327,-0.405086856985216,-0.396025417023844,-0.616846902822878,-0.532196175993512,-0.326185755765994,-0.652073407880336,-1.2625428247517,-0.515784853443395,-1.62151127105933,-0.604967910178562,0.883169289549712,-0.0415639802758824,0.0440989181770062,0.0271565862525363,-0.11147148931181,-0.0244579537267059,-0.00582638324873469
"Amandava amandava",-1.2075552057858,-0.590918595250246,-0.48902359924425,-0.520685997394303,-0.382680763545239,-0.781249100348622,-0.863178660707187,-1.0520551073519,-0.889311399094854,-2.14619394336098,-0.854676134596996,0.346756232221998,-0.226312240059909,0.364121593117624,-0.250500296711882,-0.19674966006535,-0.0729830412379372,0.000424033294742946
"Anthus hodgsoni",-0.609833047179205,-0.426528980631181,-0.409975144356905,-0.655311264994308,-0.651808505952131,-0.380359963454402,-0.542222258219306,-0.048190608983638,-0.618977011969673,-1.5286376857825,0.0275577474746149,-0.116414064620347,0.178929318894952,-0.109350113987383,-0.124150322634891,0.0371378691068139,-0.0311634956154337,-0.015560348434083
"Anthus nilghiriensis",-0.349452538408838,-0.376497358790597,-0.354176235024662,-0.616846902822878,-0.577050799727994,-0.190750236544974,-0.601446356297426,-0.865854434267468,-0.460555247471583,-1.38056267346718,-0.294007743511107,0.670912917712565,0.116201724717828,-0.0417595675595864,0.1271088186002,0.0412390406941376,-0.00885752662332339,0.00800998039004305
